title,genres,keywords,overview
Suite Française,"Romance, Drama, War","nazi occupation, forbidden love, world war ii, french resistance, prisoner of war, german soldier, 1940s, based on novel or book","France, 1940. In the first days of occupation, beautiful Lucile Angellier is trapped in a stifled existence with her controlling mother-in-law as they both await news of her husband: a prisoner of war. Parisian refugees start to pour into their small town, soon followed by a regiment of German soldiers who take up residence in the villagers' own homes. Lucile initially tries to ignore Bruno von Falk, the handsome and refined German officer staying with them. But soon, a powerful love draws them together and leads them into the tragedy of war."
The Hateful Eight,"Drama, Mystery, Western","mountain, stagecoach, 19th century, post civil war, whodunit, narration, usa, bounty hunter, blizzard, hangman, wyoming",Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.
VeggieTales: The Ballad of Little Joe,"Adventure, Drama, Family, Fantasy, Animation, Western, Comedy","vegetable, wild west, dream, brother, cowboy, friendship, singing cowboy, hardship","Join Little Joe and his rootin' tootin' French pea brothers on an adventure that will take them from an abandoned mineshaft all the way to Dodge Ball City--with Little Joe's faith being tested every step of the way!  It's a Wild West yarn that teaches us to keep the faith when facing hardship because, in the end, god can work all things out for good. Yee-haw!"
Stonewall,"Drama, History","1960s, lgbt interest, gay history, stonewall riot, new york city","Kicked out by his parents, a gay teenager leaves small-town Indiana for New York's Greenwich Village, where growing discrimination against the gay community leads to riots on June 28, 1969."
Daddy's Home,Comedy,"father, family","The story of a mild-mannered radio executive who strives to become the best stepdad ever to his wife's two children, but complications ensue when their freewheeling, freeloading real father arrives, forcing stepdad to compete for the affection of the kids."
Buddha Wild: Monk in a Hut,"Adventure, Documentary, Family, Comedy","buddhism, dalai lama, buddhist monk, american culture, buddha, buddhist temple, asian history, woman director","Buddhist monks open up about the joys and challenges of living out the precepts of the Buddha as a full-time vocation. Controversies swirling within modern monastic Buddhism are examined, from celibacy and the role of women to racism and concerns about the environment."
Joy,"Drama, Comedy","biography, inventor, new york state, entrepreneur, based on true story, 1990s, strong woman, factory, stolen patent, mop",A story based on the life of a struggling Long Island single mom who became one of the country's most successful entrepreneurs.
The Last Witch Hunter,"Adventure, Fantasy, Action","black magic, witch, magic, superstition, man, witch hunter, aircraft, woman murder, new york city","The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family."
King Arthur: Legend of the Sword,"Drama, Fantasy, Action","excalibur, sword and sorcery, king arthur, knight","When the child Arthur’s father is murdered, Vortigern, Arthur’s uncle, seizes the crown. Robbed of his birthright and with no idea who he truly is, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword Excalibur from the stone, his life is turned upside down and he is forced to acknowledge his true legacy... whether he likes it or not."
The Lego Ninjago Movie,"Adventure, Family, Animation, Comedy, Action","secret identity, based on toy, fighting, high school, ninja, father son conflict, lego, martial arts, mechs, elemental powers","Six young ninjas are tasked with defending their island home of Ninjago. By night, they’re gifted warriors using their skill and awesome fleet of vehicles to fight villains and monsters. By day, they’re ordinary teens struggling against their greatest enemy....high school."
The Penguins of Madagascar: Operation Antarctica,"Animation, Comedy","antarctica, penguin","Private's big heart overcomes his instinct to flee as he helps a stranded young leopard seal get from New York back to her home in Antarctica. The rest of the team (plus stowaway King Julien) follow in their submarine to make sure the young seal and Private make it in one piece. Problem is, they should have been looking out for themselves - they end up on the menu at the leopard seal village!  Episodes include: Operation: Antarctica, The Falcon And The Snowjob, The Big Squeeze, Driven To The Brink, Snakehead, Concrete Jungle Survival and Work Order."
Ricki and the Flash,"Drama, Music, Comedy","homophobia, rock star, family relationships, divorce, aging, estranged","Meryl Streep stars as Ricki Rendazzo, a guitar heroine who made a world of mistakes as she followed her dreams of rock-and-roll stardom. Returning home, Ricki gets a shot at redemption and a chance to make things right as she faces the music with her family."
